root	notebook	mention_type	mention
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	dataset	S_2648
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	dataset	Ssym
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	artifact	1rtpA.pdb
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	artifact	S_2648_pmppn_info_dict_V2.pickle
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	artifact	S_2648_pmppn_info_dict_V3.pickle
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	dataset	S_2648
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	dataset	S_669
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	dataset	S_921
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	dataset	Ssym
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	artifact	S_2648_full_feature_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	artifact	S_669_full_feature_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	artifact	S_921_full_feature_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	artifact	Ssym_full_feature_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	dataset	S_2648
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	dataset	S_669
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	dataset	S_921
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	dataset	Ssym
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	artifact	S_2648_full_feature_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	artifact	S_669_full_feature_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	artifact	S_921_full_feature_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	artifact	Ssym_full_feature_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	artifact	feature_combo_model_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	artifact	feature_combo_result_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S_2648
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S_669
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S_921
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	Ssym
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_2648_pmppn_info_dict_V2.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_669_feature_combo_model_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_669_feature_combo_result_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_669_pmppn_info_dict_V2.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_921_pmppn_info_dict_V2.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	Ssym_pmppn_info_dict_V2.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	feature_combo_model_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	feature_combo_result_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	dataset	S_2648
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	dataset	S_669
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	dataset	S_921
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	dataset	Ssym
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	Feature-Feature_Correlation.png
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	S_2648_pmppn_info_dict_V3.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	S_669_pmppn_info_dict_V2.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	S_669_pmppn_info_dict_V3.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	S_921_pmppn_info_dict_V3.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	Ssym_pmppn_info_dict_V3.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	incremental_feature_result_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	list_incremental_feature_result_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	dataset	S_2648
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	dataset	S_669
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	dataset	S_921
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	dataset	Ssym
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	Feature-Feature_Correlation.png
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	S_2648_pmppn_info_dict_V3.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	S_669_pmppn_info_dict_V2.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	S_669_pmppn_info_dict_V3.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	S_921_pmppn_info_dict_V3.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	Ssym_pmppn_info_dict_V3.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	artifact	incremental_feature_result_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	dataset	S_2648
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	dataset	S_669
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	dataset	S_921
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	dataset	Ssym
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	Feature-Feature_Correlation.png
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	S_2648_pmppn_info_dict_V3.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	S_669_pmppn_info_dict_V2.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	S_669_pmppn_info_dict_V3.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	S_921_pmppn_info_dict_V3.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	Ssym_pmppn_info_dict_V3.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	incremental_feature_result_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	list_incremental_feature_result_dict.pickle
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	hardcoded_path	ACCRE_PyRun_Setup/{name}_PDB_Files
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	dataset	S_2648
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	dataset	S_669
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	dataset	Ssym
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	artifact	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	artifact	1rtpA.pdb
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	artifact	res_dict.pickle
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_PDB_Files
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_pssm_dir
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	dataset	S_2648
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	dataset	S_669
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	dataset	Ssym
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	artifact	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	artifact	1rtpA.pdb
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	artifact	S_669_full_feature_dict.pickle
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	artifact	S_669_pmppn_info_dict.pickle
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_PDB_Files
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_pssm_dir
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	dataset	S_2648
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	dataset	S_669
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	dataset	Ssym
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	artifact	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	artifact	1rtpA.pdb
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	artifact	S_669_pmppn_info_dict_V2.pickle
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	artifact	S_669_pmppn_info_dict_V3.pickle
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_PDB_Files
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_pssm_dir
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	dataset	S_2648
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	dataset	S_921
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	dataset	Ssym
