root_a	path_a	root_b	path_b	jaccard	containment_smaller	shared_tokens	tokens_a	tokens_b
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	0.9283	0.9675	1606	1676	1660
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	0.9262	0.9675	1606	1660	1680
git_sajid_additions	proteinmpnn_quickdemo.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo.ipynb	0.6458	0.9671	412	624	426
git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.9321	0.9660	1619	1680	1676
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	0.9216	0.9650	1598	1676	1656
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	0.9194	0.9650	1598	1656	1680
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	0.4569	0.9641	779	1676	808
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	0.9253	0.9632	1598	1666	1659
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	0.9248	0.9627	1598	1660	1666
git_sajid_additions	proteinmpnn_quickdemo.ipynb	drive_nested_proteinmpnn	colab_notebooks/ca_only_quickdemo.ipynb	0.6391	0.9624	409	624	425
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.9163	0.9592	1598	1666	1676
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.9198	0.9582	1606	1676	1676
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	0.8686	0.9572	1500	1567	1660
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.8595	0.9566	1499	1567	1676
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	0.8243	0.9563	1422	1487	1660
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	0.4536	0.9554	772	1666	808
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	0.8658	0.9553	1497	1567	1659
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	0.8217	0.9543	1419	1487	1659
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.8136	0.9543	1419	1487	1676
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	0.8587	0.9502	1489	1567	1656
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	0.8147	0.9489	1411	1487	1656
drive_nested_proteinmpnn	colab_notebooks/quickdemo.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo_wAF2.ipynb	0.6088	0.9460	403	426	639
drive_nested_proteinmpnn	colab_notebooks/ca_only_quickdemo.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo_wAF2.ipynb	0.6048	0.9435	401	425	639
