source_kind	source	candidate_kind	candidate	source_words	candidate_words	source_ngrams	candidate_ngrams	source_ngrams_in_candidate_pct	candidate_ngrams_in_source_pct	line_sequence_ratio
docx	SA_9_23_2022_CEM	docx	some_soul_wrenching_physics	6771	23834	6164	23028	0.00	0.00	0.0000
docx	SA_9_23_2022_CEM	pdf	SA_9_20_2022	6771	5932	6164	5866	75.81	79.66	0.0443
docx	SA_9_23_2022_CEM	pdf	SA_9_20_2022_CEM	6771	5932	6164	5866	75.81	79.66	0.0443
docx	SA_9_23_2022_CEM	pdf	SA_9_21_2022	6771	6160	6164	6094	79.14	80.05	0.0563
docx	SA_9_23_2022_CEM	pdf	SA_9_23_2022_CEM	6771	6141	6164	6077	88.47	89.73	0.0563
docx	SA_9_23_2022_CEM	pdf	SA_CEM_9_26_2022	6771	6139	6164	6075	92.12	93.47	0.0542
docx	SA_9_23_2022_CEM	pdf	V1_PDF	6771	4264	6164	4206	49.58	72.66	0.0420
docx	SA_CEM_9_26_2022	docx	SA_9_20_2022	6771	6528	6164	5943	81.42	84.45	0.8276
docx	SA_CEM_9_26_2022	docx	SA_9_20_2022_Equation_Update_Attempt	6771	6565	6164	5980	83.19	85.75	0.8646
docx	SA_CEM_9_26_2022	docx	SA_9_21_2022	6771	6764	6164	6179	85.82	85.61	0.8639
docx	SA_CEM_9_26_2022	docx	SA_9_23_2022_CEM	6771	6771	6164	6164	100.00	100.00	1.0000
docx	SA_CEM_9_26_2022	docx	SA_CEM_9_26_2022_MJ	6771	6776	6164	6153	93.69	93.86	0.9292
docx	SA_CEM_9_26_2022	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6771	7182	6164	6231	93.28	92.28	0.9196
docx	SA_CEM_9_26_2022	docx	V1	6771	6109	6164	5602	74.61	82.10	0.8321
docx	SA_CEM_9_26_2022	docx	V1_CEM	6771	1855	6164	1835	20.12	67.57	0.0473
docx	SA_CEM_9_26_2022	docx	some_soul_wrenching_physics	6771	23834	6164	23028	0.00	0.00	0.0000
docx	SA_CEM_9_26_2022	pdf	SA_9_20_2022	6771	5932	6164	5866	75.81	79.66	0.0443
docx	SA_CEM_9_26_2022	pdf	SA_9_20_2022_CEM	6771	5932	6164	5866	75.81	79.66	0.0443
docx	SA_CEM_9_26_2022	pdf	SA_9_21_2022	6771	6160	6164	6094	79.14	80.05	0.0563
docx	SA_CEM_9_26_2022	pdf	SA_9_23_2022_CEM	6771	6141	6164	6077	88.47	89.73	0.0563
docx	SA_CEM_9_26_2022	pdf	SA_CEM_9_26_2022	6771	6139	6164	6075	92.12	93.47	0.0542
