a_kind	a	b_kind	b	a_words	b_words	a_in_b_pct	b_in_a_pct	line_sequence_ratio
docx	V1_CEM	pdf	V1_PDF	1855	4264	84.36	36.80	0.0863
pdf	SA_9_20_2022	pdf	SA_9_20_2022_CEM	5932	5932	100.00	100.00	1.0000
pdf	SA_9_20_2022	pdf	SA_9_21_2022	5932	6160	98.84	95.14	0.9195
pdf	SA_9_20_2022	pdf	SA_9_23_2022_CEM	5932	6141	87.52	84.48	0.5729
pdf	SA_9_20_2022	pdf	SA_CEM_9_26_2022	5932	6139	83.21	80.35	0.4648
pdf	SA_9_20_2022	pdf	V1_PDF	5932	4264	63.42	88.45	0.6322
pdf	SA_9_20_2022_CEM	pdf	SA_9_21_2022	5932	6160	98.84	95.14	0.9195
pdf	SA_9_20_2022_CEM	pdf	SA_9_23_2022_CEM	5932	6141	87.52	84.48	0.5729
pdf	SA_9_20_2022_CEM	pdf	SA_CEM_9_26_2022	5932	6139	83.21	80.35	0.4648
pdf	SA_9_20_2022_CEM	pdf	V1_PDF	5932	4264	63.42	88.45	0.6322
pdf	SA_9_21_2022	pdf	SA_9_23_2022_CEM	6160	6141	88.91	89.16	0.6443
pdf	SA_9_21_2022	pdf	SA_CEM_9_26_2022	6160	6139	84.28	84.54	0.5306
pdf	SA_9_21_2022	pdf	V1_PDF	6160	4264	60.81	88.11	0.5869
pdf	SA_9_23_2022_CEM	pdf	SA_CEM_9_26_2022	6141	6139	95.00	95.03	0.8020
