notebook	mention_type	mention	cell_index
ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
ProteinMPNNTesting_V6_V2.ipynb	dataset	PremPS	
ProteinMPNNTesting_V6_V2.ipynb	dataset	S2648	
ProteinMPNNTesting_V6_V2.ipynb	dataset	S_2648	
ProteinMPNNTesting_V6_V2.ipynb	dataset	Ssym	
ProteinMPNNTesting_V6_V2.ipynb	artifact	1rtpA.pdb	
ProteinMPNNTesting_V6_V2.ipynb	artifact	S_2648_pmppn_info_dict_V2.pickle	
ProteinMPNNTesting_V6_V2.ipynb	artifact	S_2648_pmppn_info_dict_V3.pickle	
ProteinMPNNTesting_V6_V2.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir	
ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
Quick_Dirty_MPNN_ML.ipynb	dataset	S_2648	
Quick_Dirty_MPNN_ML.ipynb	dataset	S_669	
Quick_Dirty_MPNN_ML.ipynb	dataset	S_921	
Quick_Dirty_MPNN_ML.ipynb	dataset	Ssym	
Quick_Dirty_MPNN_ML.ipynb	artifact	S_2648_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML.ipynb	artifact	S_669_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML.ipynb	artifact	S_921_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML.ipynb	artifact	Ssym_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive	
Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files	
Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
Quick_Dirty_MPNN_ML_V2.ipynb	dataset	S_2648	
