filename	valid_notebook_json	error	size_bytes	mtime_iso	cells	code_cells	markdown_cells	executed_code_cells	code_cells_with_outputs	output_records	text_output_records	image_output_records	image_output_data_chars	error_output_records	file_sha256	source_sha256	code_sha256	datasets_mentioned	artifact_mentions_count	hardcoded_paths_count	pickle_load_count	pickle_dump_count	savefig_count	read_csv_count	read_excel_count	imports	defs	classes
ProteinMPNNTesting_V6_V2.ipynb	True		468772	2022-08-24T07:16:12	28	28	0	25	13	16	16	1	163193	1	5089aaabff3f61c2c606fc16a62daafcb9d930ecaf2fedbfe2f8fe59e7b0ed3e	ada7960970013d8aa19caff80ff13f2df1ef8f631a9927d669bec04341b2da54	ada7960970013d8aa19caff80ff13f2df1ef8f631a9927d669bec04341b2da54	PremPS,S2648,S_2648,Ssym	3	6	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import expit | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.decomposition import PCA | from sklearn.preprocessing import StandardScaler | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import time | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
ProteinMPNNTesting_V6_V2_debug.ipynb	True		453932	2022-08-22T22:52:08	31	31	0	14	11	14	14	1	163193	0	2d579fbe2ea7d956e1265c13be9a0fa7e06879a173db56f13af89388b2024658	a6c940396e628b8709c9ea2c37285d8fe0a34d0e976f16d5f698fcbd988c9703	a6c940396e628b8709c9ea2c37285d8fe0a34d0e976f16d5f698fcbd988c9703	PremPS,S2648,S_2648,S_921,Ssym	6	6	3	2	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import expit | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import time | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
ProteinMPNNTesting_V7.ipynb	True		121399	2022-08-18T00:27:05	24	24	0	0	7	9	9	2	83062	0	66cad8a8848a70304cc8247d38d9d2bb9b4b33f37994b476456e0c8e0d7d6bda	dc36b60c96fe2b11004614be5631df0109f44983a61f530607a85da6fc98226b	dc36b60c96fe2b11004614be5631df0109f44983a61f530607a85da6fc98226b	S_2648,Ssym	2	6	1	1	0	0	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	convertChainFromAlphabetToNumber,returnPSSMArray,returnPSSMMapping	
PyRun_Notebook_V16 (1).ipynb	True		158186	2022-07-12T02:29:31	27	27	0	25	6	10	10	0	0	1	c6e987bfabeb442d636531f9d027245d9a62df0d353610c3e71479dbcf39d01e	37f5c110cc3e2c4f3ef5bc7afd0c59c8ba128f4380eb0edda2b342d617addf12	37f5c110cc3e2c4f3ef5bc7afd0c59c8ba128f4380eb0edda2b342d617addf12	PremPS,S2648,S_2648,S_669,premPS,s669	5	5	2	1	1	3	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from Bio.Seq import Seq | from Bio.SeqIO import write | from Bio.SeqRecord import SeqRecord | from HydrogenBond_Decorator import RosettaHBondDecorator | from Jump_Feature_Decorator import RosettaJumpDecorator | from Training_Utils import EarlyStopping, SaveCheckpoint, LoadCheckpoint | from google.colab import drive | from matplotlib.lines import Line2D | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch.utils.data import Dataset, DataLoader | from torch.utils.data.sampler import RandomSampler | from torch_geometric.data import Batch | from torch_geometric.data import Data | from torch_geometric.data import DataLoader as DLoader | from torch_geometric.nn import GATv2Conv, GATConv | from tqdm.notebook import tqdm | from typing import Counter | import Bio | import copy | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import pyrosetta | import random | import re | import sys | import time | import torch | import torch.nn | import torch.nn.functional | import torch.optim	__getitem__,__init__,__len__,calc_all_pair_distances,calc_distances_for_neighbor_list,calc_hbond_features_for_neighbor_list,calc_hbond_features_for_pair,calc_jump_features_for_neighbor_list,calc_jump_features_for_pair,calc_residue_dist,collate_fn_padd,convertChainFromAlphabetToNumber,convert_node_embedding_format,createBioStructures,createPyRosettaPoses,createTwoLevelMap,create_g_data_list,detectPoseAndStructureDisparity,eval,findICode,forward,getFlagVector,getMask,getNeighborMatrices,getNeighbors,getProps,get_ddgunfeatures_for_neighbor_list,get_edge_features,get_edge_index_complete,get_edge_index_induced,get_mut_map,get_pssmfeatures_for_neighbor_list,get_pssmfeatures_for_residue,make_mutations,make_predictions,oneToThree,plot_grad_flow,plot_train_curves,remove_reverse_mutants,remove_val_proteins_from_ssl_data,resolvePoseStructureDisparity,returnPSSMArray,returnPSSMMapping,returnToFromFeatures,return_all_training_related_tensors_for_S_669_dataset,return_all_training_related_tensors_for_premPS_datasets,return_ddgun_map,return_pose_and_struct_dictionaries,return_ssl_tensors,return_train_val_split,threeToOne,train,train_epochs,write_sequences_fasta	Model_feat,Model_regressor,MyDataset
PyRun_Notebook_V16.ipynb	True		158180	2022-07-07T03:49:53	27	27	0	25	6	10	10	0	0	1	ddaae2ad2c335394ea664a8bf99f6308d1873ce41e98d138c8fe82b7d205dcfe	c7bbe3187b92b4146a760802d2ba729bccfc8507f7fad5c6d1f96fe3bf29799a	c7bbe3187b92b4146a760802d2ba729bccfc8507f7fad5c6d1f96fe3bf29799a	PremPS,S2648,S_2648,S_669,premPS,s669	5	5	2	1	1	3	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from Bio.Seq import Seq | from Bio.SeqIO import write | from Bio.SeqRecord import SeqRecord | from HydrogenBond_Decorator import RosettaHBondDecorator | from Jump_Feature_Decorator import RosettaJumpDecorator | from Training_Utils import EarlyStopping, SaveCheckpoint, LoadCheckpoint | from google.colab import drive | from matplotlib.lines import Line2D | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch.utils.data import Dataset, DataLoader | from torch.utils.data.sampler import RandomSampler | from torch_geometric.data import Batch | from torch_geometric.data import Data | from torch_geometric.data import DataLoader as DLoader | from torch_geometric.nn import GATv2Conv, GATConv | from tqdm.notebook import tqdm | from typing import Counter | import Bio | import copy | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import pyrosetta | import random | import re | import sys | import time | import torch | import torch.nn | import torch.nn.functional | import torch.optim	__getitem__,__init__,__len__,calc_all_pair_distances,calc_distances_for_neighbor_list,calc_hbond_features_for_neighbor_list,calc_hbond_features_for_pair,calc_jump_features_for_neighbor_list,calc_jump_features_for_pair,calc_residue_dist,collate_fn_padd,convertChainFromAlphabetToNumber,convert_node_embedding_format,createBioStructures,createPyRosettaPoses,createTwoLevelMap,create_g_data_list,detectPoseAndStructureDisparity,eval,findICode,forward,getFlagVector,getMask,getNeighborMatrices,getNeighbors,getProps,get_ddgunfeatures_for_neighbor_list,get_edge_features,get_edge_index_complete,get_edge_index_induced,get_mut_map,get_pssmfeatures_for_neighbor_list,get_pssmfeatures_for_residue,make_mutations,make_predictions,oneToThree,plot_grad_flow,plot_train_curves,remove_reverse_mutants,remove_val_proteins_from_ssl_data,resolvePoseStructureDisparity,returnPSSMArray,returnPSSMMapping,returnToFromFeatures,return_all_training_related_tensors_for_S_669_dataset,return_all_training_related_tensors_for_premPS_datasets,return_ddgun_map,return_pose_and_struct_dictionaries,return_ssl_tensors,return_train_val_split,threeToOne,train,train_epochs,write_sequences_fasta	Model_feat,Model_regressor,MyDataset
PyRun_Notebook_V16_new_colab.ipynb	True		194440	2022-07-13T02:03:57	28	28	0	26	7	11	11	0	0	0	9164305233f1f385f45ee04b1a5d1f83aad331ff86623834d96cc1c592ffa512	59630597265f286c2004bbd41d215b0a60a4cc7a9d2119262d02f95dbdadd86a	59630597265f286c2004bbd41d215b0a60a4cc7a9d2119262d02f95dbdadd86a	PremPS,S2648,S_2648,S_669,premPS,s669	5	5	2	1	1	3	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from Bio.Seq import Seq | from Bio.SeqIO import write | from Bio.SeqRecord import SeqRecord | from HydrogenBond_Decorator import RosettaHBondDecorator | from Jump_Feature_Decorator import RosettaJumpDecorator | from Training_Utils import EarlyStopping, SaveCheckpoint, LoadCheckpoint | from google.colab import drive | from matplotlib.lines import Line2D | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch.utils.data import Dataset, DataLoader | from torch.utils.data.sampler import RandomSampler | from torch_geometric.data import Batch | from torch_geometric.data import Data | from torch_geometric.data import DataLoader as DLoader | from torch_geometric.nn import GATv2Conv, GATConv | from tqdm.notebook import tqdm | from typing import Counter | import Bio | import copy | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import pyrosetta | import random | import re | import sys | import time | import torch | import torch.nn | import torch.nn.functional | import torch.optim	__getitem__,__init__,__len__,calc_all_pair_distances,calc_distances_for_neighbor_list,calc_hbond_features_for_neighbor_list,calc_hbond_features_for_pair,calc_jump_features_for_neighbor_list,calc_jump_features_for_pair,calc_residue_dist,collate_fn_padd,convertChainFromAlphabetToNumber,convert_node_embedding_format,createBioStructures,createPyRosettaPoses,createTwoLevelMap,create_g_data_list,detectPoseAndStructureDisparity,eval,findICode,forward,getFlagVector,getMask,getNeighborMatrices,getNeighbors,getProps,get_ddgunfeatures_for_neighbor_list,get_edge_features,get_edge_index_complete,get_edge_index_induced,get_mut_map,get_pssmfeatures_for_neighbor_list,get_pssmfeatures_for_residue,make_mutations,make_predictions,oneToThree,plot_grad_flow,plot_train_curves,remove_reverse_mutants,remove_val_proteins_from_ssl_data,resolvePoseStructureDisparity,returnPSSMArray,returnPSSMMapping,returnToFromFeatures,return_all_training_related_tensors_for_S_669_dataset,return_all_training_related_tensors_for_premPS_datasets,return_ddgun_map,return_pose_and_struct_dictionaries,return_ssl_tensors,return_train_val_split,threeToOne,train,train_epochs,write_sequences_fasta	Model_feat,Model_regressor,MyDataset
Quick_Dirty_MPNN_ML.ipynb	True		408270	2022-08-18T01:43:32	38	38	0	17	27	47	47	8	318340	0	bf898af995f5cc1e1580d9de5822a38f93db799c031239a6206841366eb8895a	513a9d5b995e495ab2ccfe86e9e33745e71e3974a7ddbc761055a9d84aa3ad49	513a9d5b995e495ab2ccfe86e9e33745e71e3974a7ddbc761055a9d84aa3ad49	S_2648,S_669,S_921,Ssym	4	5	4	0	0	0	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.svm import SVR | from tqdm.notebook import tqdm | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys	hillclimbing,objective	
Quick_Dirty_MPNN_ML_V2.ipynb	True		529428	2022-08-18T16:38:33	49	49	0	20	30	50	50	10	406450	0	6b80eaedf58752dfa6315620a82ed83eba4a3bbcbf81ec668e889468c817270d	a5e606405c493f6613ce24b7f710b9d2e9598f40469b736aeaf817cc272ec8a6	a5e606405c493f6613ce24b7f710b9d2e9598f40469b736aeaf817cc272ec8a6	S_2648,S_669,S_921,Ssym	8	5	5	4	0	0	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from itertools import combinations | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.svm import SVR | from tqdm.notebook import tqdm | import matplotlib | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys	hillclimbing,objective	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	True		369756	2022-08-30T19:57:16	43	43	0	16	19	31	31	5	248093	0	ddefff297dd6a9669c4b87a11240e26820082647f9828e7777efa542a6d77c3e	259120f07699a4a21a3ac84bc8acdd3d6a4b9b6047bd941096c1b4ece432843b	259120f07699a4a21a3ac84bc8acdd3d6a4b9b6047bd941096c1b4ece432843b	S2648,S669,S921,S_2648,S_669,S_921,Ssym	8	5	5	4	0	0	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from itertools import combinations | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.decomposition import KernelPCA | from sklearn.decomposition import PCA | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor, AdaBoostRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.preprocessing import StandardScaler | from sklearn.svm import SVR | from sklearn.tree import DecisionTreeRegressor | from tqdm.notebook import tqdm | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys		
Quick_Dirty_MPNN_ML_V2_V3.ipynb	True		823018	2022-09-24T05:46:49	42	42	0	39	28	44	44	9	635825	0	69eb3ead9e7debaa924ea2b566316da1322588ab799c82a877661554fc5a56bb	9ade7c2f784d9a9c1eb29854e892a588beb122f940de20479878615f922a7cec	9ade7c2f784d9a9c1eb29854e892a588beb122f940de20479878615f922a7cec	S_2648,S_669,S_921,Ssym	8	5	6	2	1	0	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.decomposition import KernelPCA | from sklearn.decomposition import PCA | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor, AdaBoostRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.preprocessing import StandardScaler | from sklearn.svm import SVR | from sklearn.tree import DecisionTreeRegressor | from tqdm.notebook import tqdm | import math | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys	dict_mean	
