filename	valid_notebook_json	error	size_bytes	mtime_iso	cells	code_cells	markdown_cells	executed_code_cells	code_cells_with_outputs	output_records	text_output_records	image_output_records	image_output_data_chars	error_output_records	file_sha256	source_sha256	code_sha256	datasets_mentioned	artifact_mentions_count	hardcoded_paths_count	pickle_load_count	pickle_dump_count	savefig_count	read_csv_count	read_excel_count	imports	defs	classes
Quick_Dirty_MPNN_ML_V2_V4.ipynb	True		305873	2026-05-06T16:51:33	36	36	0	28	24	37	37	3	132187	1	0b09c41807edf70b1176aafeaa3eb75101588a4557744bc3c3c3c239f163eed6	075e11a73efd66ea4291f876a997c72b7f209d044713e1b6986bd498a26876b3	075e11a73efd66ea4291f876a997c72b7f209d044713e1b6986bd498a26876b3	S_2648,S_669,S_921,Ssym	7	5	5	1	1	0	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.decomposition import KernelPCA | from sklearn.decomposition import PCA | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor, AdaBoostRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.preprocessing import StandardScaler | from sklearn.svm import SVR | from sklearn.tree import DecisionTreeRegressor | from tqdm.notebook import tqdm | import math | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys		
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	True		797628	2026-05-06T16:51:33	44	44	0	35	29	46	46	10	555262	0	61637996028f316a39783df051509d199fdfcf912f6cdc87c7c860737a68724c	71f662fbefe01875b51d3ba7b943379625bbec440c6dd4345eacd7fd9b96f781	71f662fbefe01875b51d3ba7b943379625bbec440c6dd4345eacd7fd9b96f781	S_2648,S_669,S_921,Ssym	8	1	6	2	2	0	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.decomposition import KernelPCA | from sklearn.decomposition import PCA | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor, AdaBoostRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.preprocessing import StandardScaler | from sklearn.svm import SVR | from sklearn.tree import DecisionTreeRegressor | from tqdm.notebook import tqdm | import math | import matplotlib | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys	dict_mean	
S669_ProteinMPNNTesting_V3.ipynb	True		165235	2026-05-06T16:51:33	29	29	0	24	12	13	13	2	50558	0	35458dc5ca6da1a56724b199a2db9e400c4a1d11e6a7a22eab64a685cf4381f6	f45a4a12bf57518c93d5f9a9e77fc7b06e2c5426024bf920f1eb5193b55210c4	f45a4a12bf57518c93d5f9a9e77fc7b06e2c5426024bf920f1eb5193b55210c4	PremPS,S_2648,S_669,Ssym,s669	3	8	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN | from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,convertChainFromAlphabetToNumber,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping	
S669_ProteinMPNNTesting_V6.ipynb	True		414006	2026-05-06T16:51:33	29	29	0	17	11	12	12	2	190474	0	f858379d5f4eed60a86452bcb0dcee1c499f58fd17442ee87352eecf10837a66	9ef3b3cdc2a9710598dd13eb9e8266ce722179fa6cbb71ec25c0c684ca423525	9ef3b3cdc2a9710598dd13eb9e8266ce722179fa6cbb71ec25c0c684ca423525	PremPS,S_2648,S_669,Ssym,s669	4	7	1	2	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN | from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize | from scipy.special import expit | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
S669_ProteinMPNNTesting_V6_V2.ipynb	True		281931	2026-05-06T16:51:33	25	25	0	22	9	10	10	1	77673	0	906078b55569df6cee97d20d80aa9e5d24406713687994691ff42186ad3ef62a	99201d15c77c4fef2188e5b9e7ae5b781fc8a6d41d28470f8a73d07e3fcdaeec	99201d15c77c4fef2188e5b9e7ae5b781fc8a6d41d28470f8a73d07e3fcdaeec	PremPS,S_2648,S_669,Ssym,s669	4	7	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import expit | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import time | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
S921_ProteinMPNNTesting_V6_V2.ipynb	True		272953	2026-05-06T16:51:33	25	25	0	22	9	10	10	1	68861	0	da2a929ade741046f0799bb887c8d8a2079c9d9ca1a2b2e7c4e8b6fe976ce941	7e5f459be3c530c9450a10890e8a18044fc247d262fce9f43fcf5e02545519ec	7e5f459be3c530c9450a10890e8a18044fc247d262fce9f43fcf5e02545519ec	PremPS,S921,S_2648,S_921,Ssym	4	6	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import expit | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import time | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
Ssym_ProteinMPNNTesting_V3.ipynb	True		166995	2026-05-06T16:51:33	29	29	0	24	12	13	13	2	52446	0	7f86ae3e3ea9f62ec762805865ea98da59b848c30f180e497ccd52d5d0fa4680	d2a7386705e06d4f390e7e1c62cde7ce2cdd01192b36e752cb086175de326199	d2a7386705e06d4f390e7e1c62cde7ce2cdd01192b36e752cb086175de326199	PremPS,S_2648,Ssym	3	7	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN | from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,convertChainFromAlphabetToNumber,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping	
Ssym_ProteinMPNNTesting_V6.ipynb	True		409789	2026-05-06T16:51:33	29	29	0	25	10	11	11	2	192538	0	248ceda0ed7524e9dcdfc32a8b4634d7171cc0dfa07bf388d5c70977d1097559	6b9f2bec2d084a8a897ac4959b2427a7e5669474006cd39524b1e5b47f52791b	6b9f2bec2d084a8a897ac4959b2427a7e5669474006cd39524b1e5b47f52791b	PremPS,S_2648,Ssym	4	6	1	2	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN | from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize | from scipy.special import expit | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
Ssym_ProteinMPNNTesting_V6_V2.ipynb	True		282591	2026-05-06T16:51:33	25	25	0	22	9	10	10	1	77693	0	39c0ab8ed22b25767ff6dc7b93f495510a0aa808ba6e51086dc0a3cae20761c4	33308880f1adbb46eff4395ccfc9c80e9b33c9fbe932c59b088f74629f907f93	33308880f1adbb46eff4395ccfc9c80e9b33c9fbe932c59b088f74629f907f93	PremPS,S_2648,Ssym	4	6	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import expit | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import time | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
proteinmpnn_quickdemo.ipynb	True		403203	2026-05-06T16:51:33	9	7	2	0	5	5	5	0	0	0	14636d947ee43f770246cdf97b5ea334fcb31d177f95b7c5722a301bf4fee30e	bad9ad19322429b6f921bfbcaa994ab8511b621d1cf2009ccf82d5cd0a807881	87fe1416835a43528d13ff9986f803f53030db306ccda8d154d7ac45f4e6102b		4	2	0	0	0	0	0	from google.colab import files | from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN | from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize, parse_PDB | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | import copy | import json | import matplotlib.pyplot | import numpy | import os.path | import plotly.express | import random | import re | import shutil | import torch | import torch.nn | import torch.nn.functional | import warnings	get_pdb,make_tied_positions_for_homomers	
