notebook_a	notebook_b	jaccard	containment_smaller	shared_tokens	tokens_a	tokens_b
ProteinMPNNTesting_V4.ipynb	ProteinMPNNTesting_V6_V2_debug.ipynb	0.8423	0.9697	1442	1487	1667
ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.9244	0.9685	1627	1707	1680
ProteinMPNNTesting_V5.ipynb	ProteinMPNNTesting_V6_V2_debug.ipynb	0.8835	0.9681	1517	1567	1667
ProteinMPNNTesting_V7.ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.3168	0.9671	529	547	1652
ProteinMPNNTesting_V7.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.3115	0.9671	529	547	1680
ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.4607	0.9653	780	1665	808
S669_ProteinMPNNTesting_V6.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.9103	0.9649	1594	1652	1693
ProteinMPNNTesting_V5.ipynb	ProteinMPNNTesting_V6_V2.ipynb	0.8571	0.9643	1511	1567	1707
ProteinMPNNTesting_V3.ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.4750	0.9638	799	829	1652
Ssym_ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.9142	0.9637	1619	1680	1710
ProteinMPNNTesting_V4.ipynb	ProteinMPNNTesting_V6_V2.ipynb	0.8137	0.9637	1433	1487	1707
ProteinMPNNTesting_V5.ipynb	ProteinMPNNTesting_V7.ipynb	0.3321	0.9634	527	1567	547
S669_ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.8941	0.9607	1587	1652	1710
ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.8961	0.9580	1595	1665	1710
ProteinMPNNTesting_V5.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.8431	0.9566	1499	1567	1710
S669_ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.4573	0.9554	772	1652	808
Preparing_Fasta_Files_For_PROVEAN.ipynb	PyRun_Notebook_V16 (1).ipynb	0.0473	0.9545	63	66	1328
Preparing_Fasta_Files_For_PROVEAN.ipynb	PyRun_Notebook_V16.ipynb	0.0473	0.9545	63	66	1328
Preparing_Fasta_Files_For_PROVEAN.ipynb	PyRun_Notebook_V16_new_colab.ipynb	0.0473	0.9545	63	66	1329
ProteinMPNNTesting_V4.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.7981	0.9543	1419	1487	1710
ProteinMPNNTesting_V6.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.8972	0.9538	1588	1665	1693
S669_ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.9035	0.9530	1601	1693	1680
ProteinMPNNTesting_V5.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.8418	0.9509	1490	1567	1693
ProteinMPNNTesting_V4.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.7986	0.9496	1412	1487	1693
ProteinMPNNTesting_V2.ipynb	ProteinMPNNTesting_V6_V2_debug.ipynb	0.4348	0.9442	744	788	1667
ProteinMPNNTesting_V2.ipynb	ProteinMPNNTesting_V6_V2.ipynb	0.4249	0.9442	744	788	1707
ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V6_V2_debug.ipynb	0.4529	0.9385	778	829	1667
ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V6_V2.ipynb	0.4425	0.9385	778	829	1707
ProteinMPNNTesting_V6_V2_debug.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.4263	0.9361	732	1667	782
ProteinMPNNTesting_V6_V2.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.4166	0.9361	732	1707	782
S669_ProteinMPNNTesting_V3.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.4175	0.9322	729	782	1693
Ssym_ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.4266	0.9319	753	808	1710
ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.4265	0.9307	752	1707	808
ProteinMPNNTesting_V2.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.4145	0.9289	732	788	1710
