notebook_a	notebook_b	jaccard	containment_smaller	shared_tokens	tokens_a	tokens_b
Preparing_Fasta_Files_For_PROVEAN.ipynb	proteinmpnn_quickdemo.ipynb	0.0518	0.5152	34	66	624
ProteinMPNNTesting_V3.ipynb	proteinmpnn_quickdemo.ipynb	0.2768	0.5048	315	829	624
Ssym_ProteinMPNNTesting_V3.ipynb	proteinmpnn_quickdemo.ipynb	0.2809	0.5032	314	808	624
Quick_Dirty_MPNN_ML_V2_V3.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.1932	0.5031	401	797	1680
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.1932	0.5031	401	797	1680
S669_ProteinMPNNTesting_V3.ipynb	Untitled1.ipynb	0.0201	0.5000	16	782	32
ProteinMPNNTesting_V2.ipynb	Untitled1.ipynb	0.0199	0.5000	16	788	32
ProteinMPNNTesting_V3.ipynb	Untitled1.ipynb	0.0189	0.5000	16	829	32
ProteinMPNNTesting_V7.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.2922	0.4973	272	547	656
ProteinMPNNTesting.ipynb	Quick_Dirty_MPNN_ML.ipynb	0.2295	0.4972	268	897	539
ProteinMPNNTesting_V2.ipynb	proteinmpnn_quickdemo.ipynb	0.2801	0.4952	309	788	624
ProteinMPNNTesting_V6.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.1905	0.4944	394	1665	797
ProteinMPNNTesting_V6.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.1905	0.4944	394	1665	797
Quick_Dirty_MPNN_ML_V2_V3.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.1865	0.4944	394	797	1710
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.1865	0.4944	394	797	1710
Quick_Dirty_MPNN_ML_V2_V3.ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.1911	0.4931	393	797	1652
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.1911	0.4931	393	797	1652
ProteinMPNNTesting_V6_V2.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.1862	0.4931	393	1707	797
ProteinMPNNTesting_V6_V2.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.1862	0.4931	393	1707	797
S669_ProteinMPNNTesting_V3.ipynb	proteinmpnn_quickdemo.ipynb	0.2793	0.4920	307	782	624
Quick_Dirty_MPNN_ML_V2_V3.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.1868	0.4918	392	797	1693
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.1868	0.4918	392	797	1693
ProteinMPNNTesting_V3.ipynb	Quick_Dirty_MPNN_ML.ipynb	0.2380	0.4879	263	829	539
ProteinMPNNTesting_V2.ipynb	PyRun_Notebook_V16_new_colab.ipynb	0.2188	0.4822	380	788	1329
ProteinMPNNTesting_V2.ipynb	PyRun_Notebook_V16 (1).ipynb	0.2182	0.4810	379	788	1328
ProteinMPNNTesting_V2.ipynb	PyRun_Notebook_V16.ipynb	0.2182	0.4810	379	788	1328
Quick_Dirty_MPNN_ML.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.2358	0.4768	257	539	808
PyRun_Notebook_V16_new_colab.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.2197	0.4765	385	1329	808
ProteinMPNNTesting.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.2520	0.4757	313	897	658
PyRun_Notebook_V16 (1).ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.2192	0.4752	384	1328	808
PyRun_Notebook_V16.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.2192	0.4752	384	1328	808
PyRun_Notebook_V16_new_colab.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.2132	0.4744	371	1329	782
ProteinMPNNTesting_V3.ipynb	PyRun_Notebook_V16_new_colab.ipynb	0.2227	0.4741	393	829	1329
PyRun_Notebook_V16 (1).ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.2126	0.4731	370	1328	782
PyRun_Notebook_V16.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.2126	0.4731	370	1328	782
ProteinMPNNTesting_V5.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.1897	0.4730	377	1567	797
ProteinMPNNTesting_V5.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.1897	0.4730	377	1567	797
ProteinMPNNTesting_V3.ipynb	PyRun_Notebook_V16 (1).ipynb	0.2221	0.4729	392	829	1328
ProteinMPNNTesting_V3.ipynb	PyRun_Notebook_V16.ipynb	0.2221	0.4729	392	829	1328
ProteinMPNNTesting_V7.ipynb	Quick_Dirty_MPNN_ML.ipynb	0.3053	0.4712	254	547	539
ProteinMPNNTesting_V2.ipynb	Quick_Dirty_MPNN_ML.ipynb	0.2356	0.4694	253	788	539
ProteinMPNNTesting_V6_V2_debug.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.1789	0.4693	374	1667	797
ProteinMPNNTesting_V6_V2_debug.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.1789	0.4693	374	1667	797
Quick_Dirty_MPNN_ML.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.2357	0.4675	252	539	782
ProteinMPNNTesting_V3.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.2559	0.4605	303	829	658
ProteinMPNNTesting_V4.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.1908	0.4592	366	1487	797
ProteinMPNNTesting_V4.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.1908	0.4592	366	1487	797
ProteinMPNNTesting.ipynb	PyRun_Notebook_V16_new_colab.ipynb	0.2264	0.4582	411	897	1329
ProteinMPNNTesting.ipynb	PyRun_Notebook_V16 (1).ipynb	0.2259	0.4571	410	897	1328
ProteinMPNNTesting.ipynb	PyRun_Notebook_V16.ipynb	0.2259	0.4571	410	897	1328
PyRun_Notebook_V16 (1).ipynb	Quick_Dirty_MPNN_ML.ipynb	0.1503	0.4527	244	1328	539
PyRun_Notebook_V16.ipynb	Quick_Dirty_MPNN_ML.ipynb	0.1503	0.4527	244	1328	539
PyRun_Notebook_V16_new_colab.ipynb	Quick_Dirty_MPNN_ML.ipynb	0.1502	0.4527	244	1329	539
Quick_Dirty_MPNN_ML_V2.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.2530	0.4498	296	658	808
ProteinMPNNTesting_V2.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.2530	0.4438	292	788	658
Quick_Dirty_MPNN_ML_V2.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.2533	0.4422	291	658	782
PyRun_Notebook_V16 (1).ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.1675	0.4331	285	1328	658
PyRun_Notebook_V16.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.1675	0.4331	285	1328	658
PyRun_Notebook_V16_new_colab.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.1675	0.4331	285	1329	658
ProteinMPNNTesting.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.2238	0.4329	284	897	656
ProteinMPNNTesting_V3.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.2354	0.4314	283	829	656
PyRun_Notebook_V16 (1).ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.1657	0.4299	282	1328	656
PyRun_Notebook_V16.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.1657	0.4299	282	1328	656
PyRun_Notebook_V16_new_colab.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.1656	0.4299	282	1329	656
PROVEAN_VAR_creation.ipynb	proteinmpnn_quickdemo.ipynb	0.1084	0.4293	79	184	624
PyRun_Notebook_V16 (1).ipynb	proteinmpnn_quickdemo.ipynb	0.1571	0.4247	265	1328	624
PyRun_Notebook_V16.ipynb	proteinmpnn_quickdemo.ipynb	0.1571	0.4247	265	1328	624
PyRun_Notebook_V16_new_colab.ipynb	proteinmpnn_quickdemo.ipynb	0.1570	0.4247	265	1329	624
PyRun_Notebook_V16_new_colab.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.2292	0.4221	561	1329	1680
PyRun_Notebook_V16 (1).ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.2288	0.4217	560	1328	1680
PyRun_Notebook_V16.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.2288	0.4217	560	1328	1680
PyRun_Notebook_V16_new_colab.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.2259	0.4214	560	1329	1710
PyRun_Notebook_V16 (1).ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.2255	0.4209	559	1328	1710
PyRun_Notebook_V16.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.2255	0.4209	559	1328	1710
ProteinMPNNTesting_V6.ipynb	PyRun_Notebook_V16_new_colab.ipynb	0.2291	0.4199	558	1665	1329
ProteinMPNNTesting_V6_V2.ipynb	PyRun_Notebook_V16_new_colab.ipynb	0.2252	0.4199	558	1707	1329
ProteinMPNNTesting_V6.ipynb	PyRun_Notebook_V16 (1).ipynb	0.2287	0.4194	557	1665	1328
ProteinMPNNTesting_V6.ipynb	PyRun_Notebook_V16.ipynb	0.2287	0.4194	557	1665	1328
ProteinMPNNTesting_V6_V2.ipynb	PyRun_Notebook_V16 (1).ipynb	0.2248	0.4194	557	1707	1328
ProteinMPNNTesting_V6_V2.ipynb	PyRun_Notebook_V16.ipynb	0.2248	0.4194	557	1707	1328
PyRun_Notebook_V16_new_colab.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.2255	0.4184	556	1329	1693
PyRun_Notebook_V16 (1).ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.2251	0.4179	555	1328	1693
PyRun_Notebook_V16.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.2251	0.4179	555	1328	1693
Quick_Dirty_MPNN_ML_V2_V2.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.2292	0.4162	273	656	808
PyRun_Notebook_V16_new_colab.ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.2273	0.4153	552	1329	1652
ProteinMPNNTesting_V6_V2_debug.ipynb	PyRun_Notebook_V16_new_colab.ipynb	0.2259	0.4153	552	1667	1329
PyRun_Notebook_V16 (1).ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.2268	0.4149	551	1328	1652
PyRun_Notebook_V16.ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.2268	0.4149	551	1328	1652
ProteinMPNNTesting_V6_V2_debug.ipynb	PyRun_Notebook_V16 (1).ipynb	0.2255	0.4149	551	1667	1328
ProteinMPNNTesting_V6_V2_debug.ipynb	PyRun_Notebook_V16.ipynb	0.2255	0.4149	551	1667	1328
ProteinMPNNTesting_V5.ipynb	PyRun_Notebook_V16_new_colab.ipynb	0.2323	0.4108	546	1567	1329
ProteinMPNNTesting_V5.ipynb	PyRun_Notebook_V16 (1).ipynb	0.2319	0.4104	545	1567	1328
ProteinMPNNTesting_V5.ipynb	PyRun_Notebook_V16.ipynb	0.2319	0.4104	545	1567	1328
ProteinMPNNTesting_V2.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	0.2289	0.4101	269	788	656
Quick_Dirty_MPNN_ML_V2_V2.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.2280	0.4070	267	656	782
ProteinMPNNTesting_V7.ipynb	Untitled1.ipynb	0.0230	0.4062	13	547	32
Untitled1.ipynb	proteinmpnn_quickdemo.ipynb	0.0202	0.4062	13	32	624
Quick_Dirty_MPNN_ML_V2.ipynb	Untitled1.ipynb	0.0192	0.4062	13	658	32
Quick_Dirty_MPNN_ML_V2_V3.ipynb	Untitled1.ipynb	0.0159	0.4062	13	797	32
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	Untitled1.ipynb	0.0159	0.4062	13	797	32
ProteinMPNNTesting_V4.ipynb	PyRun_Notebook_V16_new_colab.ipynb	0.2367	0.4056	539	1487	1329
ProteinMPNNTesting_V4.ipynb	PyRun_Notebook_V16 (1).ipynb	0.2363	0.4051	538	1487	1328
ProteinMPNNTesting_V4.ipynb	PyRun_Notebook_V16.ipynb	0.2363	0.4051	538	1487	1328
ProteinMPNNTesting_V3.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.2365	0.3902	311	829	797
ProteinMPNNTesting_V3.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.2365	0.3902	311	829	797
Quick_Dirty_MPNN_ML_V2_V3.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.2346	0.3827	305	797	808
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.2346	0.3827	305	797	808
ProteinMPNNTesting.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.2187	0.3814	304	897	797
ProteinMPNNTesting.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.2187	0.3814	304	897	797
ProteinMPNNTesting_V2.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.2325	0.3794	299	788	797
ProteinMPNNTesting_V2.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.2325	0.3794	299	788	797
Quick_Dirty_MPNN_ML_V2_V3.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.2307	0.3785	296	797	782
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.2307	0.3785	296	797	782
Quick_Dirty_MPNN_ML.ipynb	Untitled1.ipynb	0.0215	0.3750	12	539	32
PyRun_Notebook_V16 (1).ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.1618	0.3714	296	1328	797
PyRun_Notebook_V16 (1).ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.1618	0.3714	296	1328	797
PyRun_Notebook_V16.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.1618	0.3714	296	1328	797
PyRun_Notebook_V16.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.1618	0.3714	296	1328	797
PyRun_Notebook_V16_new_colab.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	0.1617	0.3714	296	1329	797
PyRun_Notebook_V16_new_colab.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.1617	0.3714	296	1329	797
ProteinMPNNTesting_V7.ipynb	proteinmpnn_quickdemo.ipynb	0.2035	0.3620	198	547	624
Quick_Dirty_MPNN_ML_V2_V2.ipynb	Untitled1.ipynb	0.0162	0.3438	11	656	32
Quick_Dirty_MPNN_ML_V2_V2.ipynb	proteinmpnn_quickdemo.ipynb	0.1584	0.2804	175	656	624
Quick_Dirty_MPNN_ML.ipynb	proteinmpnn_quickdemo.ipynb	0.1492	0.2801	151	539	624
Quick_Dirty_MPNN_ML_V2.ipynb	proteinmpnn_quickdemo.ipynb	0.1560	0.2772	173	658	624
Quick_Dirty_MPNN_ML_V2_V3.ipynb	proteinmpnn_quickdemo.ipynb	0.1386	0.2772	173	797	624
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	proteinmpnn_quickdemo.ipynb	0.1386	0.2772	173	797	624
PROVEAN_VAR_creation.ipynb	Untitled1.ipynb	0.0286	0.1875	6	184	32
Preparing_Fasta_Files_For_PROVEAN.ipynb	Untitled1.ipynb	0.0426	0.1250	4	66	32
