filename	git_same_filename_exists	file_sha256_equal	source_sha256_equal	code_sha256_equal	colab_size_bytes	git_size_bytes	colab_mtime_iso	colab_code_cells	git_code_cells	colab_code_cells_with_outputs	git_code_cells_with_outputs	colab_source_sha256	git_source_sha256
Ssym_ProteinMPNNTesting_V3.ipynb	True	False	True	True	140950	166995	2022-08-09T07:53:08	29	29	12	12	d2a7386705e06d4f390e7e1c62cde7ce2cdd01192b36e752cb086175de326199	d2a7386705e06d4f390e7e1c62cde7ce2cdd01192b36e752cb086175de326199
Ssym_ProteinMPNNTesting_V6.ipynb	True	False	True	True	374364	409789	2022-08-16T10:10:19	29	29	10	10	6b9f2bec2d084a8a897ac4959b2427a7e5669474006cd39524b1e5b47f52791b	6b9f2bec2d084a8a897ac4959b2427a7e5669474006cd39524b1e5b47f52791b
Ssym_ProteinMPNNTesting_V6_V2.ipynb	True	False	False	False	277749	282591	2022-08-25T04:17:49	27	25	10	9	f4dfa565eed04f76921b94d9f7a3ab84f5f408383e5a7ee7623aefc56b2c7cdd	33308880f1adbb46eff4395ccfc9c80e9b33c9fbe932c59b088f74629f907f93
Untitled	False	False	False	False	306		2022-07-08T21:52:02	1		0		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
Untitled0.ipynb	False	False	False	False	351		2022-08-13T05:55:19	1		0		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
Untitled1.ipynb	False	False	False	False	3946		2022-10-29T02:20:27	7		4		c38c7ae3d0b29b425c74110c64eee333b512e2bfab9104dcf5139934dc17edc3	
proteinmpnn_quickdemo.ipynb	True	False	True	True	397580	403203	2022-08-04T06:37:54	7	7	5	5	bad9ad19322429b6f921bfbcaa994ab8511b621d1cf2009ccf82d5cd0a807881	bad9ad19322429b6f921bfbcaa994ab8511b621d1cf2009ccf82d5cd0a807881
test_esm_shit.ipynb	False	False	False	False	324		2022-11-03T06:11:17	1		0		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
Quick_Dirty_MPNN_ML_V2_V4.ipynb	True					305873			36		24		075e11a73efd66ea4291f876a997c72b7f209d044713e1b6986bd498a26876b3
S921_ProteinMPNNTesting_V6_V2.ipynb	True					272953			25		9		7e5f459be3c530c9450a10890e8a18044fc247d262fce9f43fcf5e02545519ec
