pickle_file	run_index	metric_key	dataset	split	metric	metric_kind	feature_combo	value
list_incremental_feature_result_dict.pickle	0	S_2648_direct_RMSE	S_2648	direct	RMSE	feature_combo_dict	A+B+C+D+E+F+G	0.6789261825190749
list_incremental_feature_result_dict.pickle	0	S_2648_direct_RMSE	S_2648	direct	RMSE	feature_combo_dict	A+B+C+D+E+F+G+H	0.6784546266298288
list_incremental_feature_result_dict.pickle	0	S_2648_reverse_RMSE	S_2648	reverse	RMSE	feature_combo_dict	A	0.859402236857796
list_incremental_feature_result_dict.pickle	0	S_2648_reverse_RMSE	S_2648	reverse	RMSE	feature_combo_dict	A+B	0.8030134043137971
list_incremental_feature_result_dict.pickle	0	S_2648_reverse_RMSE	S_2648	reverse	RMSE	feature_combo_dict	A+B+C	0.7761645624812795
list_incremental_feature_result_dict.pickle	0	S_2648_reverse_RMSE	S_2648	reverse	RMSE	feature_combo_dict	A+B+C+D	0.7534440146476694
list_incremental_feature_result_dict.pickle	0	S_2648_reverse_RMSE	S_2648	reverse	RMSE	feature_combo_dict	A+B+C+D+E	0.6891277039656566
list_incremental_feature_result_dict.pickle	0	S_2648_reverse_RMSE	S_2648	reverse	RMSE	feature_combo_dict	A+B+C+D+E+F	0.6799141234179553
list_incremental_feature_result_dict.pickle	0	S_2648_reverse_RMSE	S_2648	reverse	RMSE	feature_combo_dict	A+B+C+D+E+F+G	0.6814271105926794
list_incremental_feature_result_dict.pickle	0	S_2648_reverse_RMSE	S_2648	reverse	RMSE	feature_combo_dict	A+B+C+D+E+F+G+H	0.6820533813222616
list_incremental_feature_result_dict.pickle	0	S_921_total_PCC	S_921	total	PCC	feature_combo_dict	A	0.6503993122769548
list_incremental_feature_result_dict.pickle	0	S_921_total_PCC	S_921	total	PCC	feature_combo_dict	A+B	0.7004216653138344
list_incremental_feature_result_dict.pickle	0	S_921_total_PCC	S_921	total	PCC	feature_combo_dict	A+B+C	0.6980665984264591
list_incremental_feature_result_dict.pickle	0	S_921_total_PCC	S_921	total	PCC	feature_combo_dict	A+B+C+D	0.728796025715124
