artifact_relative_path	artifact_basename	source_file	source_group	line_number	reference_state	line_text
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V5.ipynb.py.txt	historical_notebook_source_export	1911	commented	"# with open(""res_dict.pickle"",""rb"") as f:"
dat.xlsx	dat.xlsx	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6.ipynb.py.txt	historical_notebook_source_export	1927	commented	"# write_frame_loc.to_excel(""dat.xlsx"",float_format=""%.3f"")"
S_921_pmppn_info_dict.pickle	S_921_pmppn_info_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6.ipynb.py.txt	historical_notebook_source_export	1932	commented	"# with open(""S_921_pmppn_info_dict.pickle"",""wb"") as f:"
S_2648_pmppn_info_dict.pickle	S_2648_pmppn_info_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6.ipynb.py.txt	historical_notebook_source_export	1937	commented	"# with open(""S_2648_pmppn_info_dict.pickle"",""rb"") as f:"
S_2648_pmppn_info_dict_V2.pickle	S_2648_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt	historical_notebook_source_export	1954	commented	"# with open(""S_2648_pmppn_info_dict_V2.pickle"",""wb"") as f:"
S_2648_pmppn_info_dict_V2.pickle	S_2648_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt	historical_notebook_source_export	1959	commented	"# with open(""S_2648_pmppn_info_dict_V2.pickle"",""rb"") as f:"
dat.xlsx	dat.xlsx	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6_V2_debug.ipynb.py.txt	historical_notebook_source_export	1952	commented	"# write_frame_loc.to_excel(""dat.xlsx"",float_format=""%.3f"")"
S_2648_pmppn_info_dict_V2.pickle	S_2648_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6_V2_debug.ipynb.py.txt	historical_notebook_source_export	1957	commented	"# with open(""S_2648_pmppn_info_dict_V2.pickle"",""wb"") as f:"
S_2648_pmppn_info_dict.pickle	S_2648_pmppn_info_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6_V2_debug.ipynb.py.txt	historical_notebook_source_export	1962	commented	"# with open(""S_2648_pmppn_info_dict.pickle"",""rb"") as f:"
S_2648_pmppn_info_dict.pickle	S_2648_pmppn_info_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6_V2_debug.ipynb.py.txt	historical_notebook_source_export	1967	commented	"# with open(""S_2648_pmppn_info_dict.pickle"",""rb"") as f:"
S_2648_pmppn_info_dict_V2.pickle	S_2648_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6_V2_debug.ipynb.py.txt	historical_notebook_source_export	1969	commented	"# with open(""S_2648_pmppn_info_dict_V2.pickle"",""rb"") as f:"
S_921_full_feature_dict.pickle	S_921_full_feature_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6_V2_debug.ipynb.py.txt	historical_notebook_source_export	2285	commented	"# with open(""S_921_full_feature_dict.pickle"",""wb"") as f:"
dat.xlsx	dat.xlsx	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V7.ipynb.py.txt	historical_notebook_source_export	82	commented	"# write_frame_loc.to_excel(""dat.xlsx"",float_format=""%.3f"")"
S_2648_pmppn_info_dict.pickle	S_2648_pmppn_info_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V7.ipynb.py.txt	historical_notebook_source_export	87	commented	"# with open(""S_2648_pmppn_info_dict.pickle"",""wb"") as f:"
S_2648_pmppn_info_dict.pickle	S_2648_pmppn_info_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V7.ipynb.py.txt	historical_notebook_source_export	92	commented	"# with open(""S_2648_pmppn_info_dict.pickle"",""rb"") as f:"
S_2648_full_feature_dict.pickle	S_2648_full_feature_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML.ipynb.py.txt	historical_notebook_source_export	42	active_or_text	"with open(""S_2648_full_feature_dict.pickle"",""rb"") as f:"
S_921_full_feature_dict.pickle	S_921_full_feature_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML.ipynb.py.txt	historical_notebook_source_export	44	active_or_text	"with open(""S_921_full_feature_dict.pickle"",""rb"") as f:"
S_669_full_feature_dict.pickle	S_669_full_feature_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML.ipynb.py.txt	historical_notebook_source_export	46	active_or_text	"with open(""S_669_full_feature_dict.pickle"",""rb"") as f:"
Ssym_full_feature_dict.pickle	Ssym_full_feature_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML.ipynb.py.txt	historical_notebook_source_export	48	active_or_text	"with open(""Ssym_full_feature_dict.pickle"",""rb"") as f:"
S_2648_full_feature_dict.pickle	S_2648_full_feature_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML_V2.ipynb.py.txt	historical_notebook_source_export	46	active_or_text	"with open(""S_2648_full_feature_dict.pickle"",""rb"") as f:"
S_921_full_feature_dict.pickle	S_921_full_feature_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML_V2.ipynb.py.txt	historical_notebook_source_export	48	active_or_text	"with open(""S_921_full_feature_dict.pickle"",""rb"") as f:"
