pickle_file	metric_key	dataset	split	metric	metric_kind	feature_combo	n	mean	sample_std	population_std	min	max	round_mean_2
incremental_feature_result_dict.pickle	S_669_reverse_RMSE	S_669	reverse	RMSE	feature_combo_dict	A+B+C+D+E+F+G+H	1	1.4495048234310377	0.0	0.0	1.4495048234310377	1.4495048234310377	1.45
incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A	1	0.47253444752066265	0.0	0.0	0.47253444752066265	0.47253444752066265	0.47
incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B	1	0.5263742235847635	0.0	0.0	0.5263742235847635	0.5263742235847635	0.53
incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C	1	0.5770808323436827	0.0	0.0	0.5770808323436827	0.5770808323436827	0.58
incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D	1	0.604078485104945	0.0	0.0	0.604078485104945	0.604078485104945	0.6
incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D+E	1	0.6373129919842265	0.0	0.0	0.6373129919842265	0.6373129919842265	0.64
incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D+E+F	1	0.6433825489022651	0.0	0.0	0.6433825489022651	0.6433825489022651	0.64
incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D+E+F+G	1	0.6435072887194614	0.0	0.0	0.6435072887194614	0.6435072887194614	0.64
incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D+E+F+G+H	1	0.6438997429899567	0.0	0.0	0.6438997429899567	0.6438997429899567	0.64
incremental_feature_result_dict.pickle	S_669_total_RMSE	S_669	total	RMSE	feature_combo_dict	A	1	1.7197895769070828	0.0	0.0	1.7197895769070828	1.7197895769070828	1.72
incremental_feature_result_dict.pickle	S_669_total_RMSE	S_669	total	RMSE	feature_combo_dict	A+B	1	1.6258028061787453	0.0	0.0	1.6258028061787453	1.6258028061787453	1.63
incremental_feature_result_dict.pickle	S_669_total_RMSE	S_669	total	RMSE	feature_combo_dict	A+B+C	1	1.5522100930158222	0.0	0.0	1.5522100930158222	1.5522100930158222	1.55
incremental_feature_result_dict.pickle	S_669_total_RMSE	S_669	total	RMSE	feature_combo_dict	A+B+C+D	1	1.5139645421564192	0.0	0.0	1.5139645421564192	1.5139645421564192	1.51
incremental_feature_result_dict.pickle	S_669_total_RMSE	S_669	total	RMSE	feature_combo_dict	A+B+C+D+E	1	1.462557217217217	0.0	0.0	1.462557217217217	1.462557217217217	1.46
incremental_feature_result_dict.pickle	S_669_total_RMSE	S_669	total	RMSE	feature_combo_dict	A+B+C+D+E+F	1	1.452850378706898	0.0	0.0	1.452850378706898	1.452850378706898	1.45
incremental_feature_result_dict.pickle	S_669_total_RMSE	S_669	total	RMSE	feature_combo_dict	A+B+C+D+E+F+G	1	1.4527680544265773	0.0	0.0	1.4527680544265773	1.4527680544265773	1.45
incremental_feature_result_dict.pickle	S_669_total_RMSE	S_669	total	RMSE	feature_combo_dict	A+B+C+D+E+F+G+H	1	1.4523462946929924	0.0	0.0	1.4523462946929924	1.4523462946929924	1.45
incremental_feature_result_dict.pickle	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A	1	0.5639950780169208	0.0	0.0	0.5639950780169208	0.5639950780169208	0.56
incremental_feature_result_dict.pickle	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B	1	0.6289019060612517	0.0	0.0	0.6289019060612517	0.6289019060612517	0.63
incremental_feature_result_dict.pickle	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B+C	1	0.6405124196530965	0.0	0.0	0.6405124196530965	0.6405124196530965	0.64
incremental_feature_result_dict.pickle	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B+C+D	1	0.6868463968887764	0.0	0.0	0.6868463968887764	0.6868463968887764	0.69
incremental_feature_result_dict.pickle	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B+C+D+E	1	0.7291007784296885	0.0	0.0	0.7291007784296885	0.7291007784296885	0.73
incremental_feature_result_dict.pickle	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B+C+D+E+F	1	0.760825813642232	0.0	0.0	0.760825813642232	0.760825813642232	0.76
incremental_feature_result_dict.pickle	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B+C+D+E+F+G	1	0.7647825085595219	0.0	0.0	0.7647825085595219	0.7647825085595219	0.76
incremental_feature_result_dict.pickle	S_921_direct_PCC	S_921	direct	PCC	feature_combo_dict	A+B+C+D+E+F+G+H	1	0.768049322423046	0.0	0.0	0.768049322423046	0.768049322423046	0.77
incremental_feature_result_dict.pickle	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A	1	1.7745256616254619	0.0	0.0	1.7745256616254619	1.7745256616254619	1.77
incremental_feature_result_dict.pickle	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B	1	1.6779343657570598	0.0	0.0	1.6779343657570598	1.6779343657570598	1.68
incremental_feature_result_dict.pickle	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B+C	1	1.6924163982093678	0.0	0.0	1.6924163982093678	1.6924163982093678	1.69
incremental_feature_result_dict.pickle	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B+C+D	1	1.6172658305610923	0.0	0.0	1.6172658305610923	1.6172658305610923	1.62
incremental_feature_result_dict.pickle	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B+C+D+E	1	1.5606549320059293	0.0	0.0	1.5606549320059293	1.5606549320059293	1.56
incremental_feature_result_dict.pickle	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B+C+D+E+F	1	1.505362871463259	0.0	0.0	1.505362871463259	1.505362871463259	1.51
incremental_feature_result_dict.pickle	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B+C+D+E+F+G	1	1.4968621189770088	0.0	0.0	1.4968621189770088	1.4968621189770088	1.5
incremental_feature_result_dict.pickle	S_921_direct_RMSE	S_921	direct	RMSE	feature_combo_dict	A+B+C+D+E+F+G+H	1	1.4901251954031052	0.0	0.0	1.4901251954031052	1.4901251954031052	1.49
incremental_feature_result_dict.pickle	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A	1	0.5639641959725665	0.0	0.0	0.5639641959725665	0.5639641959725665	0.56
incremental_feature_result_dict.pickle	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B	1	0.6296582013770963	0.0	0.0	0.6296582013770963	0.6296582013770963	0.63
incremental_feature_result_dict.pickle	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B+C	1	0.6379136255946515	0.0	0.0	0.6379136255946515	0.6379136255946515	0.64
incremental_feature_result_dict.pickle	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B+C+D	1	0.687419615587278	0.0	0.0	0.687419615587278	0.687419615587278	0.69
incremental_feature_result_dict.pickle	S_921_reverse_PCC	S_921	reverse	PCC	feature_combo_dict	A+B+C+D+E	1	0.7269326475595139	0.0	0.0	0.7269326475595139	0.7269326475595139	0.73
