feature_combo	figure_label	n_runs	S_669_total_PCC_mean	Ssym_total_PCC_mean	S_669_round_2	Ssym_round_2
A	A	10	0.4716349516326452	0.6411381217091818	0.47	0.64
A+B	A-B	10	0.5260122556202218	0.7006985310624467	0.53	0.7
A+B+C	A-C	10	0.5772006420549597	0.7164446229490329	0.58	0.72
A+B+C+D	A-D	10	0.6010573659102072	0.7426379714006968	0.6	0.74
A+B+C+D+E	A-E	10	0.6373709366633076	0.7868663352314815	0.64	0.79
A+B+C+D+E+F	A-F	10	0.6437674388651097	0.802689928058127	0.64	0.8
A+B+C+D+E+F+G	A-G	10	0.6435247169825066	0.808747587496611	0.64	0.81
A+B+C+D+E+F+G+H	A-H	10	0.6439948414047258	0.8122281604920314	0.64	0.81
